Date,Open,High,Low,Close,Adj Close,Volume,Year
2/17/2017,106.699997,107.410004,104.790001,107.230003,106.81385,14093500,2017
2/21/2017,108.230003,111.230003,108.220001,111.07,110.638954,13798800,2017
2/22/2017,111.419998,111.800003,109.989998,110.760002,110.469391,10844300,2017
2/23/2017,105.5,106.389999,99.68,100.489998,100.226341,39822200,2017
2/24/2017,97.07,102,95.699997,101.459999,101.193794,25747600,2017
2/27/2017,102.199997,105.019997,101.559998,104.410004,104.136063,17885000,2017
2/28/2017,104.800003,105.199997,100.779999,101.480003,101.213745,15634000,2017
3/1/2017,103.790001,104.370003,101.110001,102.790001,102.520302,12620100,2017
3/2/2017,102.269997,102.839996,98.889999,99,98.74025,18858300,2017
3/3/2017,98.57,98.769997,96.220001,98.43,98.171745,21617300,2017
3/6/2017,96.959999,98.099998,95.169998,97.669998,97.413734,22089200,2017
3/7/2017,97.669998,99.529999,97.150002,98.739998,98.480934,15085000,2017
3/8/2017,100.699997,101.300003,98.470001,98.559998,98.301399,15967800,2017
3/9/2017,97.910004,99.449997,97.400002,98.540001,98.281456,11951500,2017
3/10/2017,99.610001,100.089996,98.379997,99.120003,98.85994,12493500,2017
3/13/2017,99.540001,102.25,99.510002,101.849998,101.582771,19353400,2017
3/14/2017,102.370003,102.75,100.470001,101.779999,101.512955,13050400,2017
3/15/2017,102.25,102.989998,100.32,102.550003,102.280945,15375900,2017
3/16/2017,102.980003,103.830002,102.410004,103.809998,103.537636,13077500,2017
3/17/2017,104.519997,106.120003,103.809998,106.07,105.791695,27992200,2017
3/20/2017,106.779999,109.610001,106.129997,109.449997,109.162827,18714200,2017
3/21/2017,108.75,109.959999,105.589996,105.910004,105.632126,22837100,2017
3/22/2017,105.459999,108.260002,105.300003,108.07,107.786453,15419100,2017
3/23/2017,107.75,108.559998,106.699997,107.089996,106.809021,13348500,2017
3/24/2017,108.970001,109.290001,106.419998,107.470001,107.188026,10987500,2017
3/27/2017,105.580002,108.410004,103.580002,108.25,107.965973,12666100,2017
3/28/2017,108.300003,108.889999,107.269997,107.690002,107.407455,10811100,2017
3/29/2017,107.989998,108.489998,107.25,107.339996,107.058365,8749800,2017
3/30/2017,107.629997,110,107.400002,109.400002,109.112968,13138300,2017
3/31/2017,109.010002,109.889999,108.400002,108.93,108.644203,11020200,2017
4/3/2017,108.949997,109.650002,107.419998,108.379997,108.095634,11130800,2017
4/4/2017,103.400002,104.419998,100.339996,100.779999,100.515587,31782000,2017
4/5/2017,100.019997,102.370003,99.5,100.029999,99.767548,18676200,2017
4/6/2017,100.239998,101.25,98.410004,100.760002,100.495636,15878000,2017
4/7/2017,101.019997,101.730003,99.720001,100.330002,100.066765,10726700,2017
4/10/2017,100.360001,100.629997,97.599998,97.769997,97.513474,18908300,2017
4/11/2017,96.550003,98.900002,96.349998,98.120003,97.862556,15453700,2017
4/12/2017,98.120003,98.699997,97.099998,97.309998,97.05468,10352300,2017
4/13/2017,96.330002,97.209999,95.489998,95.489998,95.239456,12672300,2017
4/17/2017,96.010002,99.239998,95.800003,99.230003,98.96965,12432300,2017
4/18/2017,98.650002,99.540001,97.599998,99.290001,99.029488,9252900,2017
4/19/2017,100,100.980003,99.410004,99.68,99.418465,9520700,2017
4/20/2017,100.269997,101.449997,99.410004,101.260002,100.994316,10100400,2017
4/21/2017,100.839996,101.790001,100.360001,101.68,101.413216,8547400,2017
4/24/2017,102.959999,103.480003,102.110001,102.949997,102.679886,9295500,2017
4/25/2017,103.540001,105.330002,102.669998,104.739998,104.465195,9711000,2017
4/26/2017,105.290001,105.389999,103.940002,104.019997,103.74707,8175100,2017
4/27/2017,104.32,105.980003,103.589996,105.639999,105.362823,7992500,2017
4/28/2017,105.360001,105.639999,104.07,104.300003,104.026344,8677600,2017
5/1/2017,104.739998,106.849998,104.449997,106.639999,106.360207,7693300,2017
5/2/2017,105.550003,105.599998,102.559998,103.480003,103.208504,15749300,2017
5/3/2017,103.199997,104.639999,102.599998,104.25,103.976479,8422600,2017
5/4/2017,104.5,104.949997,103.529999,103.849998,103.577522,5244700,2017
5/5/2017,103.379997,104.150002,102.75,103.860001,103.587502,5710700,2017
5/8/2017,104.339996,104.400002,102.309998,102.769997,102.500351,9131000,2017
5/9/2017,103,104.93,102.660004,102.940002,102.669922,21191800,2017
5/10/2017,114.290001,121.82,114.019997,121.290001,120.971764,53227400,2017
5/11/2017,120.050003,130.429993,119.910004,126.5,126.168098,48494800,2017
5/12/2017,126.629997,129.600006,125.779999,127.889999,127.554443,24065500,2017
5/15/2017,129.559998,134.410004,129.380005,134.309998,133.957596,27188500,2017
5/16/2017,136.380005,137.440002,133.360001,136.809998,136.451035,28017500,2017
5/17/2017,134.100006,134.860001,127.550003,127.720001,127.384903,31784200,2017
5/18/2017,129.5,133.429993,127.050003,133.070007,132.720871,28900800,2017
5/19/2017,137.029999,138.220001,135.220001,136,135.786026,25459300,2017
5/22/2017,137.770004,139.479996,137.330002,138.899994,138.681473,20915200,2017
5/23/2017,139.699997,139.789993,135.710007,137.029999,136.814407,17031200,2017
5/24/2017,140.960007,141.070007,138.080002,138.570007,138.352005,20399900,2017
5/25/2017,140,140.029999,136.440002,138.259995,138.04248,15205700,2017
5/26/2017,137.929993,145.279999,137.110001,141.839996,141.616837,19478500,2017
5/30/2017,143.699997,146.289993,143.050003,144.869995,144.642059,24741300,2017
5/31/2017,146.690002,147,142.050003,144.350006,144.122894,22182900,2017
6/1/2017,144.990005,145.029999,142.520004,144.360001,144.132874,12583500,2017
6/2/2017,144.240005,145.300003,143.399994,143.639999,143.414001,12186400,2017
6/5/2017,142.979996,148.529999,142.509995,148.009995,147.777115,20434400,2017
6/6/2017,147.820007,149.690002,146.800003,147.339996,147.108185,18968200,2017
6/7/2017,148.330002,149.880005,147.699997,149.119995,148.885376,15315300,2017
6/8/2017,153.460007,160,151.789993,159.940002,159.68837,28579300,2017
6/9/2017,164.740005,168.5,142.75,149.600006,149.364639,92323200,2017
6/12/2017,145.880005,151.699997,142.110001,149.970001,149.734039,42438300,2017
6/13/2017,154.399994,154.770004,145.649994,151.399994,151.161789,41812600,2017
6/14/2017,151.520004,154.059998,148.5,151.720001,151.481308,29616000,2017
6/15/2017,146.960007,153.600006,146.5,152.369995,152.130264,24095600,2017
6/16/2017,152.759995,154.699997,150.240005,151.619995,151.381439,23124000,2017
6/19/2017,153.410004,157.529999,153.259995,157.320007,157.072495,19454400,2017
6/20/2017,159.029999,161.740005,156.919998,157.089996,156.84285,27386100,2017
6/21/2017,158.210007,159.619995,155.699997,159.470001,159.219101,17066300,2017
6/22/2017,159.800003,160.339996,157.399994,158.369995,158.120834,11728300,2017
6/23/2017,158.679993,159.320007,153.220001,153.830002,153.587982,27214700,2017
6/26/2017,155.160004,156.600006,148.330002,152.149994,151.910614,26599000,2017
6/27/2017,151.440002,151.789993,146.350006,146.580002,146.34938,24987300,2017
6/28/2017,149.320007,151.940002,145.75,151.75,151.511246,24873700,2017
6/29/2017,150.600006,150.720001,144.080002,146.679993,146.449219,26610600,2017
6/30/2017,147.380005,147.929993,143.5,144.559998,144.33255,18276500,2017
7/3/2017,145.050003,145.649994,138.580002,139.330002,139.110794,17726800,2017
7/5/2017,141.899994,144.220001,141.130005,143.050003,142.824936,20504700,2017
7/6/2017,141.869995,145.380005,139.759995,143.479996,143.254257,18657100,2017
7/7/2017,145.779999,147.5,144.850006,146.759995,146.529099,16374300,2017
7/10/2017,149.740005,154,148.679993,153.699997,153.458176,23962300,2017
7/11/2017,153.850006,156.190002,152.149994,155.880005,155.634766,18948900,2017
7/12/2017,158.300003,163,156.559998,162.509995,162.254318,28630200,2017
